Sno,Target,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
1,147000,859,45,0,0,0,0,0,0,0,0,0,0,0,0,2,285000
2,147000,868,54,0,0,0,0,1,75000,0,0,0,0,0,0,1,0
3,147000,876,44,0,0,1,900000,0,0,0,0,0,0,0,0,1,0
4,147000,832,34,0,0,0,0,0,0,0,0,0,0,0,0,2,149000
5,148000,835,41,0,0,0,0,0,0,1,237132,0,0,0,0,2,0
6,148000,864,32,0,0,0,0,1,450000,0,0,0,0,0,0,2,93000
7,148000,831,39,0,0,0,0,0,0,1,482000,0,0,0,0,1,0
8,148000,854,34,0,0,0,0,2,350000,0,0,0,0,0,0,2,43000
9,148000,811,34,0,0,0,0,0,0,1,481775,0,0,0,0,2,118500
10,149000,822,46,0,0,0,0,0,0,0,0,0,0,0,0,1,15000
11,150000,807,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,150000,843,41,0,0,0,0,0,0,1,488832,0,0,0,0,1,51500
13,150000,850,27,0,0,0,0,0,0,1,490000,0,0,0,0,1,38000
14,152000,785,49,1,3430000,0,0,1,1000000,1,698532,0,0,1,240000,6,100000
15,152000,772,31,0,0,0,0,1,463000,0,0,0,0,0,0,4,57000
16,153000,837,43,0,0,0,0,1,200000,0,0,0,0,0,0,0,0
17,153000,846,31,0,0,0,0,0,0,1,500000,0,0,0,0,1,65000
18,153000,788,39,0,0,0,0,1,217000,0,0,0,0,0,0,4,86000
19,153000,756,38,0,0,0,0,0,0,1,500000,0,0,0,0,1,158000
20,153000,852,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,153000,833,55,0,0,0,0,0,0,0,0,0,0,0,0,1,75000
22,153000,840,49,0,0,0,0,0,0,0,0,0,0,0,0,2,150000
23,153000,861,49,0,0,0,0,0,0,0,0,0,0,0,0,2,16000
24,153000,860,54,0,0,0,0,0,0,0,0,0,0,0,0,2,50000
25,153000,823,42,0,0,0,0,0,0,1,500000,0,0,0,0,2,124000
